student_id,race,ses_index,parent_ed,family_income,female,urbanicity,math_score_t0,read_score_t0,gpa_baseline,school_quality,peer_support,expectations,grit_scale,absenteeism,motivation,treatment,math_score_t1
1,Black,-0.09107198499728433,2,44909.86813015046,1,Rural,43.36784426611525,40.67600597114366,2.37319910293445,-0.7901005245045595,9.730080573241038,1,3.0369235157046717,2,0.05320447655558169,0,44.09410620637121
2,White,1.1214758637997024,1,99075.94027940444,1,Urban,56.555744863474466,50.89320259556789,3.070758848101832,0.5337625409300677,10.954586151244861,2,2.3367040565921453,3,-1.114983400985159,0,52.49975504229656
3,Black,0.019837457250943775,4,28064.0723391777,1,Rural,32.51672397130964,45.599110480156135,3.028863856801763,0.32905957009291015,13.14463414632333,2,2.753887670454599,3,-1.3577971820750054,0,35.85194808287565
4,Hispanic,1.458750124281318,4,71027.36138617933,0,Suburban,48.10912985909493,50.22954410074341,2.9789433224359527,1.4811223840516257,7.458453527798427,2,2.9949402547740913,4,-0.6264030373004686,0,64.05391048672469
5,White,-0.1239375568005171,5,71649.488048015,1,Suburban,51.79191859869609,56.882128268300065,3.3060260231141,0.900250637863757,6.989786529976366,3,2.6520866416525846,3,0.24495600371673526,0,54.93954225494304
6,Hispanic,0.8524893257355456,3,66499.7887033493,0,Suburban,62.04592946248997,54.1886654278308,1.5315587263321504,-1.7231708336171783,7.159361218680983,3,2.585109057164007,4,-0.21681888010097863,0,77.48208690842092
7,Black,1.7449868510914754,1,69511.8499757441,1,Suburban,50.18949723846484,53.96345299778617,3.735906808055006,0.0898199194462454,13.221559804166393,3,2.6307826524181213,4,-1.9795448240702582,0,62.1869178788235
8,White,-0.660331453309551,2,35122.03255220054,1,Rural,74.51697414160947,61.44606928017369,2.170627782237716,0.6364263587425157,11.59377555016859,4,2.803818835823204,1,-0.5916585408722193,0,63.98520251740613
9,White,-0.20115859494194765,3,67906.00812697968,1,Suburban,48.14890328425445,61.53361703614267,1.6562462927540764,0.08766965647158567,8.964078980221307,2,3.3167744105051007,0,0.028101823410351917,0,50.14234333051555
10,White,-0.7774260597348102,2,117099.80492961768,0,Rural,38.466078224417515,28.173595036848024,2.578313390025869,-0.4191701158961242,10.144010902624848,3,3.6780650774561208,1,-1.319922870662589,0,41.77533208605123
11,Asian,0.20108449341019838,4,58475.092300526456,1,Suburban,58.056532764425,57.0703046692151,2.4904189640656114,0.5211548136830679,12.942532684404036,3,3.241050150072297,4,-1.3728823275412851,0,53.3581600507112
12,White,-0.0735394136747263,1,162681.50817117636,1,Suburban,44.067504859507764,39.9372421329696,2.3159815659746528,-0.48687123122196846,7.273913654072211,2,3.210721731406611,2,0.5981518862534692,0,38.55241915369985
13,Black,1.0736731602083895,3,42051.23562884175,1,Urban,32.03790415971206,34.75506178147503,1.5335476297186688,-0.9566863639357568,8.716384435672866,2,3.5361044773395145,3,-0.4055110470927488,1,47.60242808214922
14,White,0.08639343809268799,3,64256.95379244278,1,Rural,56.6372850861419,47.60292940380717,2.797753086546436,-0.2013800652831288,10.79067695226434,1,2.894477374604214,2,-0.655379488367342,0,54.6242150359271
15,White,-1.9456960940785715,2,143155.59325430077,0,Rural,45.53515995672157,46.83680085531025,1.7196234464645386,-1.179469288601841,7.9022095289055505,2,3.487860565454746,3,-1.5750301732201155,0,39.66523817477776
16,White,-2.191689327245581,2,74634.77568498118,1,Rural,53.67207531182484,60.29683442495072,3.6086813730653375,0.7700931269209962,8.171685186069977,4,2.8510048680150057,4,0.7147056758218752,0,49.60897252693671
17,White,-0.6415747905657025,2,75828.74991694352,1,Rural,42.85209995127518,59.60965023906517,3.9061229592189193,0.5596267982906205,11.846545810075149,2,4.012978328248739,4,-0.7480791390643126,0,42.34967281019255
18,White,-0.6376072299077967,1,54063.91388808099,0,Rural,54.04202792486109,38.231251432215075,2.239105539396405,0.13246595137119968,12.193510694754806,4,2.5555254101604272,1,0.8235250686673925,0,56.63782492740296
19,White,-0.18409431515689612,1,111624.27956355602,0,Rural,53.765215139718734,68.64615120463642,1.822439824230969,-1.3801656504800857,10.840154974421901,3,3.4099880623882255,3,1.308864944813204,0,46.477806056848834
